FID,OBJECTID_1,Join_Count,TARGET_FID,CID,objectid,qhdm,qhmc,dkbm,bz,provinceco,citycode,nf,dkmc,zhssjb,sscd,xczp,picbasepat,yfly,sczwmj,sccl,yfmj,szmj,czmj,jcmj,ssmj,cylx,zwdm,zwmc,countycode,zh,gmt_create,rwid,gmt_modify,ydbh,status,zdxlh,uuid,yx_date,cylxdm,towncode,zwlx,cls,lon,lat
0,1,1,1,0,3451.000000000000000,130207109215,岔道口村,1302071092150003,玉米, 1,1302,2020,00003, , ," [{""desc"":""方向：未知方向;北纬：39.413356;东经：118.010958;地点：丰南区王兰庄镇马家庄村;时间：2020-07-31 15:13:44"",""name"":""现场照片"",""path"":""mobile/2020/07/31/3dff73497466487ca12b06d081e2087e/1596179627310_130207109215_X","C{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,7.460000000000000,0.000000000000000,7.460000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13020,7gykjfnq_test, 2020-07-31 15:13:50.469276, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-31 15:13:50.469276, ,2.000000000000000, 861695037372203, B335F855F93E42AE830633A0C6B8262,12/30/1899 0:00:00,61, 13020710,玉米,0.0000000,118.009886153000000,39.413727418699999
1,2,1,2,1,3839.000000000000000,130225109017,流智庄村,1302251090170149, , 1,1302,2020,00149, , ," [{""desc"":""方向：西北;北纬：39.329107;东经：118.755072;地点：乐亭县新寨镇流智庄村;时间：2020-08-02 08:41:10"",""name"":""现场照片"",""path"":""mobile/2020/08/02/0abebaade8494b82915d0d33b9b26f60/1596328872063_130225109017_XCZP.jpg""}",",{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,0.230000000000000,0.000000000000000,0.230000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13022,5ltxcs, 2020-08-02 08:41:38.231302, 6d34864b55c6479b90aaf6f6c5baa0b,92020-08-02 08:41:38.231302, ,2.000000000000000, 865825043310212, 36178E09326D456EA993C73517F36F0,12/30/1899 0:00:00,61, 13022510,玉米,0.0000000,118.754628240000000,39.329325942099999
2,3,1,3,2,3865.000000000000000,130225109017,流智庄村,1302251090170172, , 1,1302,2020,00172, , ," [{""desc"":""方向：东南;北纬：39.339072;东经：118.751608;地点：乐亭县新寨镇流智庄村;时间：2020-08-02 08:54:04"",""name"":""现场照片"",""path"":""mobile/2020/08/02/a22e8ae4518f40498e3d5ef32b56bb4a/1596329645391_130225109017_XCZP.jpg""}","]{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,26.149999999999999,0.000000000000000,26.149999999999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13022,5ltxcs, 2020-08-02 08:54:18.80402, 6d34864b55c6479b90aaf6f6c5baa0b,92020-08-02 08:54:18.80402, ,2.000000000000000, dc37f3e3a9bd040f, 13C074AFA0A3410BA40BED79C9D3B02,12/30/1899 0:00:00,61, 13022510,玉米,0.0000000,118.752716251000000,39.337248127899997
3,4,1,4,3,2263.000000000000000,131121100262,杨苏村,1311211002620001, , 1,1311,2020,00001, , ," [{""desc"":""方向：东南;北纬：37.467714;东经：115.753438;地点：枣强县枣强镇杨苏村;时间：2020-07-24 17:05:45"",""name"":""现场照片"",""path"":""mobile/2020/07/24/1fc994ef526c45149c1604b46828b78e/1595581546333_131121100262_XCZP.jpg""},{""","d{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,19.600000000000001,0.000000000000000,19.600000000000001,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13112,1gykjzqx_test, 2020-07-24 17:06:13.08247, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-24 17:06:13.08247, ,2.000000000000000, 94a854fba614fd26, 02772587199248C69C1079BA4BF9AEC,12/30/1899 0:00:00,61, 13112110,玉米,0.0000000,115.753612382000000,37.466896876200003
4,5,1,5,4,2480.000000000000000,130725205201,七甲村,1307252052010002, , 1,1307,2020,00002, , ," [{""desc"":""方向：东南;北纬：41.166059;东经：114.032502;地点：尚义县七甲乡七甲村;时间：2020-07-27 10:21:29"",""name"":""现场照片"",""path"":""mobile/2020/07/27/0f83c1f6785b40f6b4bfa5fc7d27b7bd/1595816491177_130725205201_XCZP.jpg""}]"," {""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,2.130000000000000,0.000000000000000,2.130000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13072,5gykjsyx_test, 2020-07-27 10:21:45.137993, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-27 10:21:45.137993, ,2.000000000000000, 34cedd6ac23fe647, 82B815C2FFD34302A3E30938FAB60FD,12/30/1899 0:00:00,61, 13072520,玉米,0.0000000,114.033967876999990,41.166002722400002
5,6,1,6,5,2264.000000000000000,131121100262,杨苏村,1311211002620002, , 1,1311,2020,00002, , ," [{""desc"":""方向：北;北纬：37.467714;东经：115.753438;地点：枣强县枣强镇杨苏村;时间：2020-07-24 17:06:25"",""name"":""现场照片"",""path"":""mobile/2020/07/24/a6a9bc0979884536ad4f0d99737a78f6/1595581586885_131121100262_XCZP.jpg""},{""des","c{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,17.850000000000001,0.000000000000000,17.850000000000001,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13112,1gykjzqx_test, 2020-07-24 17:07:05.877975, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-24 17:07:05.877975, ,2.000000000000000, 94a854fba614fd26, D5B94BF0F3DC4C2EBF08499B16743C7,,61, 13112110,玉米,0.0000000,115.754036447999990,37.468082783400000
6,7,1,7,6,2270.000000000000000,131121100268,打车杨村,1311211002680001, , 1,1311,2020,00001, , ," [{""desc"":""方向：西北;北纬：37.464662;东经：115.750570;地点：枣强县枣强镇打车杨村;时间：2020-07-24 17:14:19"",""name"":""现场照片"",""path"":""mobile/2020/07/24/c613d7c4bcaf45deb73d0c500e78854c/1595582060785_131121100268_XCZP.jpg""}",",{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}1,18.780000000000001,0.000000000000000,18.780000000000001,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13112,1gykjzqx_test, 2020-07-24 17:14:44.752519, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-24 17:14:44.752519, 2150,2.000000000000000, 94a854fba614fd26, D5F6F517640446AF92239B17BC7EDA6,12/30/1899 0:00:00,61, 13112110,玉米,0.0000000,115.750029806000000,37.463154459099997
7,8,1,8,7,1956.000000000000000,131121106205,北杨庄村,1311211062050001, , 1,1311,2020,00001, , ," [{""desc"":""方向：正南;北纬：37.456525;东经：115.641855;地点：枣强县张秀屯乡北杨庄村;时间：2020-07-23 19:03:09"",""name"":""现场照片"",""path"":""mobile/2020/07/23/01703ba6ae2f42eabd0a9d97d5e21cfd/1595502190906_131121106205_XCZP.jp","g{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}1,4.790000000000000,0.000000000000000,4.790000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13112,1gykjzqx_test, 2020-07-23 19:03:41.827747, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-23 19:03:41.827747, 2179,2.000000000000000, 94a854fba614fd26, D819077A78C54C179D350BB7EC1F939,12/30/1899 0:00:00,61, 13112110,玉米,0.0000000,115.641978103000000,37.455891141000002
8,10,1,10,9,2274.000000000000000,131121100236,黑马村,1311211002360001, , 1,1311,2020,00001, , ," [{""desc"":""方向：东北;北纬：37.450510;东经：115.742332;地点：枣强县枣强镇武杨官村;时间：2020-07-24 17:26:48"",""name"":""现场照片"",""path"":""mobile/2020/07/24/b6b0a099ab1d4b1bbb6bb6ed556cfab9/1595582808978_131121100236_XCZP.jpg""}",",{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,22.660000000000000,0.000000000000000,22.660000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13112,1gykjzqx_test, 2020-07-24 17:27:08.389905, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-24 17:27:08.389905, ,2.000000000000000, 94a854fba614fd26, 726CAAC85BD14E50B2262A8B33C41B4,,61, 13112110,玉米,0.0000000,115.742201670000000,37.450975779499998
9,13,1,13,12,1970.000000000000000,131121100240,邱庄村,1311211002400001, , 1,1311,2020,00001, , ," [{""desc"":""方向：东南;北纬：37.471478;东经：115.688561;地点：枣强县枣强镇邱庄村;时间：2020-07-23 19:21:36"",""name"":""现场照片"",""path"":""mobile/2020/07/23/d482e5fd5da64aeca3a03fd28536dee1/1595503297596_131121100240_XCZP.jpg""},{""","d{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,25.870000000000001,0.000000000000000,25.870000000000001,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13112,1gykjzqx_test, 2020-07-23 19:21:53.581842, 6d34864b55c6479b90aaf6f6c5baa0b,92020-07-23 19:21:53.581842, ,2.000000000000000, 94a854fba614fd26, BF2BF4B4C8EC46E59B0E77D69EC834A,12/30/1899 0:00:00,61, 13112110,玉米,0.0000000,115.688365459000000,37.470723165700001
10,14,1,14,13,3868.000000000000000,130225109017,流智庄村,1302251090170174, , 1,1302,2020,00174, , ," [{""desc"":""方向：东南;北纬：39.339140;东经：118.750726;地点：乐亭县新寨镇流智庄村;时间：2020-08-02 08:55:23"",""name"":""现场照片"",""path"":""mobile/2020/08/02/0432d0d790c74e3ab0db8a86aa7ac427/1596329724673_130225109017_XCZP.jpg""}","]{""accessKeyId"":""LTAIP816Jan0Nvjq"",""bucket"":""ram-agriinsurance-prod"",""endpoint"":""https://oss-cn-zhangjiakou.al",}0,27.550000000000001,0.000000000000000,27.550000000000001,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 种植a, 16, 玉米, 13022,5ltxcs, 2020-08-02 08:55:36.109708, 6d34864b55c6479b90aaf6f6c5baa0b,92020-08-02 08:55:36.109708, ,2.000000000000000, dc37f3e3a9bd040f, C776B9E36CB0432F90FCD78231426C3,12/30/1899 0:00:00,61, 13022510,玉米,0.0000000,118.751179449000010,39.337703328300002
