OBJECT_ID,class_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
99,0,1622,1623,1881,1916,2060,2293,3014,2643,1610,1518,1601,1614,1960,1904,1971,1623,1674,1662,1712,1797,2616,2745,2869,2108,1409,1411,1262,1492,2805,2938,2449,1524,1133,1082,669,1181,3453,4317,2165,943,1077,1017,707,1170,2905,3626,1833,823,1432,1449,1821,2130,2614,3166,3174,2122
99,0,1714,1607,1786,1822,2281,2723,2606,2127,1450,1503,1585,1818,2636,2772,2595,2000,1507,1481,1677,1727,2160,2346,2790,2131,1412,1319,1260,1431,2429,2779,2436,1591,1683,1470,1283,1526,2673,3160,2552,1558,1372,1200,1121,1226,1868,2178,1908,1214,1474,1349,1372,1390,1591,1891,1915,1476
99,0,1548,1415,1442,1635,2274,2670,2375,1764,1355,1220,1307,1890,2610,2880,2937,2137,1318,1284,1427,1627,2349,2631,2658,1788,1283,1121,1012,1207,2218,2577,2161,1298,1308,1116,950,1058,1886,2149,1420,799,1260,1042,892,1044,1926,2209,1602,831,1192,1028,1033,1194,1740,2104,1883,1332
99,0,1177,992,747,985,2733,4135,1404,651,1302,1291,1170,1302,2540,3318,1487,946,1615,1586,2097,2252,2640,2890,3599,2293,1613,1419,1315,1446,2274,2514,3002,1972,1366,1181,861,977,2925,4122,1922,788,1121,941,634,833,2668,3680,1588,629,1659,1516,1635,1851,2299,2628,3079,2198
99,0,1301,1311,1638,1732,1879,2035,2841,2470,1571,1551,1845,1940,2106,2256,3024,2691,1545,1676,2029,2194,2482,2637,3309,2957,1302,1326,1255,1563,2740,3187,2377,1622,1055,1122,705,1242,3647,4545,1613,757,1009,1052,753,1347,3328,4449,1704,905,1366,1427,1724,2121,2562,3100,2945,2120
99,0,1174,970,718,932,2614,4069,1276,570,1308,1281,1166,1296,2501,3305,1432,920,1597,1629,2112,2258,2684,2980,3857,2438,1571,1361,1225,1318,1964,2161,2516,1696,1246,1048,712,863,2643,3686,1727,678,1100,917,629,796,2369,3316,1510,596,1535,1485,1782,1958,2218,2355,3562,2885
99,0,1255,1082,957,1076,2648,3738,1565,891,1349,1351,1277,1405,2528,3252,1598,1030,1660,1666,2140,2367,2796,3164,4034,2720,1581,1482,1427,1489,2382,2610,2748,1775,1374,1197,934,985,2519,3273,1639,751,1273,1081,900,949,2717,3598,1817,791,1631,1544,1885,2009,2222,2488,3225,2743
99,0,1646,1755,2138,2385,2770,3026,3492,3180,1555,1600,1801,1955,2534,2884,2512,2058,1759,1864,2203,2405,3131,3389,3909,3119,1441,1261,922,1147,2881,3643,2084,987,1207,1001,689,839,2255,2876,1351,571,1139,1006,726,1108,2763,3499,1953,972,1560,1477,1787,1965,2244,2494,3580,2764
99,0,1105,920,707,853,2433,3810,1399,757,1308,1341,1298,1409,2486,3176,1658,1038,1580,1593,2001,2183,2530,2753,3442,2252,1500,1350,1185,1343,2288,2557,2685,1629,1143,968,655,844,2608,3577,1757,739,1204,1102,808,1164,3453,4581,2115,872,1866,1741,1980,2094,2329,2487,3466,2834
99,0,1040,859,628,777,2361,3726,1164,646,1320,1330,1242,1386,2438,3116,1504,977,1697,1763,2320,2461,2901,3264,4020,2640,1463,1243,988,1101,2485,2725,2328,1229,1223,1024,693,836,2695,3997,1664,633,1083,1096,735,1105,2373,3086,1387,709,1675,1591,1849,1947,2177,2414,3277,2691
